kind,episode,steps,score,total_reward,epsilon,q_states,kills,rooms,floors,done,wall_seconds
train,181,100,15.62,13.493173,0.1389,93,4,1,0,False,18.61
train,182,100,1.664167,3.509735,0.1374,93,0,0,0,False,16.92
train,183,100,16.520833,5.960604,0.1359,93,5,1,0,False,18.23
train,184,93,2.530833,-8.137,0.1345,93,1,0,0,True,17.35
train,185,76,14.025,3.3555,0.133,93,3,1,0,True,12.87
train,186,72,3.1675,-7.500333,0.1315,93,2,0,0,True,14.03
train,187,82,4.320833,-5.484667,0.1301,93,3,0,0,True,15.84
train,188,100,15.398333,9.978318,0.1287,93,4,1,0,False,16.24
train,189,100,1.6025,2.238605,0.1273,93,0,0,0,False,16.2
train,190,100,14.380833,6.502296,0.1259,93,3,1,0,False,16.33
train,191,100,2.5075,-0.297638,0.1245,93,1,0,0,False,16.58
train,192,80,2.085833,-8.580333,0.1232,93,1,0,0,True,13.16
train,193,90,1.299167,-9.365333,0.1218,93,0,0,0,True,14.8
train,194,78,1.145,-8.657167,0.1205,93,0,0,0,True,12.88
train,195,100,1.604167,4.480301,0.1192,93,0,0,0,False,16.22
train,196,100,2.495,-1.308833,0.1179,93,1,0,0,False,16.47
train,197,100,1.690833,2.884028,0.1166,93,0,0,0,False,17.87
train,198,79,1.299167,-9.370333,0.1153,93,0,0,0,True,15.09
train,199,100,2.665833,-0.142638,0.1141,93,1,0,0,False,18.21
train,200,82,3.235,-7.436167,0.1128,93,2,0,0,True,15.4
eval,200,57,1.878333,-10.159167,0.1116,93,1,0,0,True,10.87
eval,200,100,1.681667,1.645833,0.1116,93,0,0,0,False,17.59
eval,200,67,2.918333,-9.120833,0.1116,93,2,0,0,True,11.68
train,201,100,14.59,6.021628,0.1116,93,3,1,0,False,17.96
train,202,57,0.9275,-9.738667,0.1104,93,0,0,0,True,11.23
train,203,100,1.7,1.896167,0.1092,93,0,0,0,False,18.0
train,204,100,15.501667,9.1674,0.108,93,4,1,0,False,17.48
train,205,100,1.561667,1.987558,0.1068,93,0,0,0,False,16.21
train,206,62,1.846667,-6.960138,0.1056,93,1,0,0,True,10.3
train,207,57,0.770833,-9.895333,0.1045,93,0,0,0,True,9.53
train,208,100,2.4825,-0.183667,0.1033,93,1,0,0,False,16.27
train,209,100,14.4275,4.602833,0.1022,93,3,1,0,False,16.28
train,210,100,1.308333,1.704622,0.1011,93,0,0,0,False,17.69
train,211,71,1.186667,-9.482833,0.1,93,0,0,0,True,14.21
train,212,100,14.969167,7.388645,0.1,93,3,1,0,False,21.9
train,213,46,0.803333,-9.004667,0.1,93,0,0,0,True,10.56
train,214,72,4.344167,-6.327833,0.1,93,3,0,0,True,16.25
train,215,63,2.0625,-10.610333,0.1,93,1,0,0,True,12.94
train,216,100,15.405833,10.429708,0.1,93,4,1,0,False,16.51
train,217,61,2.783333,-7.8845,0.1,93,2,0,0,True,10.18
train,218,100,7.616667,0.9505,0.1,93,6,0,0,False,19.33
train,219,84,2.230833,-8.437,0.1,93,1,0,0,True,14.77
train,220,100,8.293333,1.6255,0.1,93,7,0,0,False,16.33
train,221,100,4.583333,-3.2205,0.1,93,3,0,0,False,18.41
train,222,75,2.146667,-6.661805,0.1,93,1,0,0,True,13.02
train,223,100,2.541667,-0.1245,0.1,93,1,0,0,False,16.92
train,224,100,15.446667,11.338573,0.1,93,4,1,0,False,16.64
train,225,99,3.385,-7.282833,0.1,93,2,0,0,True,16.46
eval,225,100,1.624167,1.588333,0.1,93,0,0,0,False,16.42
eval,225,100,1.635833,1.6,0.1,93,0,0,0,False,16.58
eval,225,100,4.425,-5.610833,0.1,93,3,0,0,False,16.74
train,226,100,15.4025,12.721861,0.1,93,4,1,0,False,16.63
train,227,89,2.259167,-8.408667,0.1,93,1,0,0,True,14.81
train,228,100,15.475,16.948238,0.1,93,4,1,0,False,16.56
train,229,100,3.5,-0.302167,0.1,93,2,0,0,False,16.49
train,230,100,4.4575,-2.210333,0.1,93,3,0,0,False,16.66
train,231,100,14.415833,7.274745,0.1,93,3,1,0,False,16.51
train,232,100,14.501667,14.58218,0.1,93,3,1,0,False,16.5
train,233,61,1.874167,-7.929667,0.1,93,1,0,0,True,10.33
train,234,93,1.394167,-7.412638,0.1,93,0,0,0,True,15.62
train,235,60,1.8325,-7.971333,0.1,93,1,0,0,True,10.56
train,236,100,1.59,4.783195,0.1,93,0,0,0,False,16.59
train,237,100,3.4975,-3.170333,0.1,93,2,0,0,False,17.1
train,238,100,15.56,10.485634,0.1,93,4,1,0,False,17.84
train,239,100,4.430833,-4.237,0.1,94,3,0,0,False,16.68
train,240,100,1.568333,4.761528,0.1,94,0,0,0,False,16.32
train,241,74,1.024167,-8.778,0.1,94,0,0,0,True,12.66
train,242,100,1.5775,-1.090333,0.1,94,0,0,0,False,16.6
train,243,100,17.38,11.380668,0.1,94,6,1,0,False,16.88
train,244,58,1.803333,-8.8645,0.1,94,1,0,0,True,10.18
train,245,93,2.353333,-8.312833,0.1,94,1,0,0,True,15.66
train,246,98,4.3825,-5.421333,0.1,94,3,0,0,True,16.76
train,247,100,14.469167,15.475676,0.1,94,3,1,0,False,16.51
train,248,100,1.543333,1.793381,0.1,94,0,0,0,False,16.57
train,249,74,3.0925,-7.573667,0.1,94,2,0,0,True,13.37
train,250,100,15.530833,14.557087,0.1,94,4,1,0,False,17.16
eval,250,100,1.639167,1.603333,0.1,94,0,0,0,False,16.59
eval,250,100,4.490833,-3.543333,0.1,94,3,0,0,False,17.35
eval,250,51,0.745,-11.290833,0.1,94,0,0,0,True,8.72
train,251,68,1.96,-7.843833,0.1,94,1,0,0,True,11.54
train,252,92,3.378333,-11.287833,0.1,94,2,0,0,True,15.39
train,253,100,1.546667,2.739862,0.1,94,0,0,0,False,16.36
train,254,100,1.576667,1.268171,0.1,94,0,0,0,False,16.38
train,255,100,3.515833,0.849667,0.1,94,2,0,0,False,16.54
train,256,87,2.253333,-8.4145,0.1,94,1,0,0,True,14.41
train,257,83,2.24,-8.427833,0.1,94,1,0,0,True,13.94
train,258,100,2.479167,-6.187,0.1,94,1,0,0,False,16.54
train,259,100,3.481667,5.677833,0.1,94,2,0,0,False,16.49
train,260,100,2.55,3.744862,0.1,94,1,0,0,False,16.61
train,261,100,1.6175,3.963539,0.1,94,0,0,0,False,16.38
train,262,100,1.571667,4.766528,0.1,94,0,0,0,False,16.39
train,263,100,1.5175,-6.286333,0.1,94,0,0,0,False,16.81
train,264,100,1.533333,-1.1345,0.1,94,0,0,0,False,16.5
train,265,100,2.491667,-4.176167,0.1,94,1,0,0,False,16.73
train,266,100,2.451667,-6.217,0.1,94,1,0,0,False,16.71
train,267,100,1.6125,4.094594,0.1,94,0,0,0,False,16.34
train,268,100,15.440833,14.367339,0.1,94,4,1,0,False,16.52
train,269,100,1.6175,1.843587,0.1,94,0,0,0,False,16.38
train,270,100,3.448333,-3.2195,0.1,94,2,0,0,False,16.74
train,271,100,3.520833,-0.283,0.1,94,2,0,0,False,16.56
train,272,100,15.4075,7.582833,0.1,94,4,1,0,False,16.58
train,273,100,1.489167,-3.177,0.1,94,0,0,0,False,16.66
train,274,100,14.435,10.014977,0.1,94,3,1,0,False,16.63
train,275,100,14.409167,6.884642,0.1,94,3,1,0,False,16.55
eval,275,73,1.0275,-11.008333,0.1,94,0,0,0,True,12.18
eval,275,100,1.614167,1.578333,0.1,94,0,0,0,False,16.31
eval,275,100,14.425833,4.39,0.1,94,3,1,0,False,16.59
train,276,100,1.53,-1.136167,0.1,94,0,0,0,False,16.65
train,277,72,2.035833,-8.632,0.1,94,1,0,0,True,12.31
train,278,94,2.366667,-8.301167,0.1,94,1,0,0,True,15.85
train,279,100,1.450833,-7.217,0.1,94,0,0,0,False,16.69
train,280,100,15.435,6.820738,0.1,94,4,1,0,False,16.63
train,281,80,15.089167,5.287,0.1,94,4,1,0,True,13.5
train,282,75,2.009167,-8.658667,0.1,94,1,0,0,True,12.7
train,283,90,4.2825,-6.382,0.1,94,3,0,0,True,15.14
train,284,100,1.581667,1.43911,0.1,94,0,0,0,False,16.53
train,285,100,2.469167,-6.198667,0.1,95,1,0,0,False,16.68
train,286,100,15.394167,6.008369,0.1,95,4,1,0,False,16.73
train,287,89,2.275,-10.392833,0.1,95,1,0,0,True,14.91
train,288,100,1.624167,4.280743,0.1,95,0,0,0,False,16.43
train,289,72,1.998333,-10.6695,0.1,96,1,0,0,True,12.17
train,290,100,1.530833,-7.137,0.1,96,0,0,0,False,16.93
train,291,96,2.610833,-8.057,0.1,96,1,0,0,True,18.49
train,292,100,1.620833,2.385434,0.1,96,0,0,0,False,16.53
train,293,83,3.188333,-7.4795,0.1,96,2,0,0,True,14.0
train,294,100,4.424167,-4.243667,0.1,96,3,0,0,False,16.98
train,295,100,14.4325,4.046509,0.1,96,3,1,0,False,16.88
train,296,100,15.416667,9.880064,0.1,96,4,1,0,False,16.61
train,297,100,1.578333,2.356645,0.1,96,0,0,0,False,16.45
train,298,100,3.4625,-1.203667,0.1,96,2,0,0,False,16.62
train,299,100,1.578333,1.306902,0.1,96,0,0,0,False,16.45
train,300,92,3.346667,-7.3195,0.1,96,2,0,0,True,15.23
eval,300,99,3.413333,-8.6225,0.1,96,2,0,0,True,16.47
eval,300,100,1.571667,1.5375,0.1,96,0,0,0,False,16.33
eval,300,76,2.041667,-11.9925,0.1,96,1,0,0,True,12.71
